Handle,Command,Metafield: custom.material [single_line_text_field],Metafield: custom.nominal_size [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.finish [single_line_text_field],Metafield: custom.color_family [single_line_text_field],Metafield: custom.units_per_box [number_integer],Metafield: custom.sqft_per_box [number_decimal],Metafield: custom.thickness_in [number_decimal],Metafield: custom.price_per_sqft [number_decimal],Metafield: custom.price_unit [single_line_text_field],Metafield: custom.source_sku [single_line_text_field]
calgldbor1401,UPDATE,Marble,"3 7/8"" x 11 5/8""",Arabesque,Polished,White,1,,0.75,119.08,piece,CAGOMARBOR896737
calacatta-gold-large-basketweave-mosaic-with-ming-green-dots-matte,UPDATE,Marble,"12"" x 12""",Basketweave,Matte,White,1,,0.375,233.33,piece,CAGOMARMOS424949
calgldbor1403,UPDATE,Marble,,Arabesque,Polished,White,1,,0.75,95.27,piece,CAGOMARBOR476193
calgldmol1509,UPDATE,Marble,"4 3/4"" x 12""",,Polished,White,1,,0.75,242.50,piece,CAGOMARTRI169889
calgldmol1505,UPDATE,Marble,"2"" x 12""",,Polished,White,1,,0.75,169.00,piece,CAGOMARTRI363681
thaswhtbor1421,UPDATE,Marble,"4 3/4"" x 12""",Basketweave,Polished,White,1,,0.75,95.56,piece,THWHMARBOR600033
calacatta-viola-marble-18x36-inch-polished-wall-floor-tile,UPDATE,Marble,"18"" x 36""",,Polished,White,1,,0.375,105.57,piece,CAVIMARTIL563189
calgldmol1503,UPDATE,Marble,"3/4"" x 12""",,Polished,White,1,,0.75,103.60,piece,CAGOMARTRI288417
calgldmol1501,UPDATE,Marble,"1/2"" x 12""",,Polished,White,1,,0.75,99.90,piece,CAGOMARTRI838881
thaswhtbor1427,UPDATE,Marble,,Basketweave,Polished,White,1,,0.75,76.45,piece,THWHMARBOR351201
calgldmos1319,UPDATE,Marble,"5/8"" x 1 1/4""",Herringbone,Polished,White,7,6.88,0.375,24.72,sq ft,CAGOMARMOS404725
thaswhtbor1425,UPDATE,Marble,"4 3/4"" x 12""",Basketweave,Polished,White,1,,0.75,95.56,piece,THWHMARBOR518497
thaswhtbor1423,UPDATE,Marble,"4 3/4"" x 12""",Basketweave,Polished,White,1,,0.75,89.30,piece,THWHMARBOR393185
calgldmos1369,UPDATE,Marble,"12"" x 12""",Arabesque,Polished,White,8,8.0,0.375,23.71,sq ft,CAGOMARMOS798305
nero-marquina-marble-16x24-leathered-tile,UPDATE,Marble,"16"" x 24""",,Leathered,Black,1,,0.375,47.39,piece,NEMAMARTIL670005
