Handle,Command,Title,Body HTML,Tags,SEO Title,SEO Description,Metafield: custom.material [single_line_text_field],Metafield: custom.nominal_size [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.finish [single_line_text_field],Metafield: custom.color_family [single_line_text_field],Metafield: custom.units_per_box [number_integer],Metafield: custom.sqft_per_box [number_decimal],Metafield: custom.thickness_in [number_decimal],Metafield: custom.price_per_sqft [number_decimal],Metafield: custom.price_unit [single_line_text_field],Metafield: custom.source_sku [single_line_text_field]
calgldbor1401,UPDATE,"Calacatta Gold White Marble Arabesque Border 3 7/8"" x 11 5/8"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 3 7/8"" x 11 5/8""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Arabesque</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Arabesque, Polished","Calacatta Gold White Marble Arabesque Border 3 7/8"" x 11 5/8"" — Polish","Calacatta Gold White Marble Arabesque Border 3 7/8"" x 11 5/8"" — Polished. Natural marble sold by the piece, $119.08 per piece. Samples available. Ships across the continental US.",Marble,"3 7/8"" x 11 5/8""",Arabesque,Polished,White,1,,0.75,119.08,piece,CAGOMARBOR896737
calacatta-gold-large-basketweave-mosaic-with-ming-green-dots-matte,UPDATE,"Calacatta Gold White Marble Large Basketweave with Ming Green Dots Matte 12"" x 12"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Matte</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Basketweave, Matte",Calacatta Gold White Marble Large Basketweave with Ming Green Dots Mat,"Calacatta Gold White Marble Large Basketweave with Ming Green Dots Matte 12"" x 12"" Mosaic. Natural marble sold by the piece, $233.33 per piece. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Basketweave,Matte,White,1,,0.375,233.33,piece,CAGOMARMOS424949
calgldbor1403,UPDATE,Calacatta Gold White Marble Arabesque Corner Border — Polished,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Arabesque</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Arabesque, Polished",Calacatta Gold White Marble Arabesque Corner Border — Polished,"Calacatta Gold White Marble Arabesque Corner Border — Polished. Natural marble sold by the piece, $95.27 per piece. Samples available. Ships across the continental US.",Marble,,Arabesque,Polished,White,1,,0.75,95.27,piece,CAGOMARBOR476193
calgldmol1509,UPDATE,"Calacatta Gold White Marble Baseboard Trim 4 3/4"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 4 3/4"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Polished","Calacatta Gold White Marble Baseboard Trim 4 3/4"" x 12"" — Polished","Calacatta Gold White Marble Baseboard Trim 4 3/4"" x 12"" — Polished. Natural marble sold by the piece, $242.50 per piece. Samples available. Ships across the continental US.",Marble,"4 3/4"" x 12""",,Polished,White,1,,0.75,242.50,piece,CAGOMARTRI169889
calgldmol1505,UPDATE,"Calacatta Gold White Marble Single Step Chair Rail Trim 2"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 2"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Polished","Calacatta Gold White Marble Single Step Chair Rail Trim 2"" x 12"" — Pol","Calacatta Gold White Marble Single Step Chair Rail Trim 2"" x 12"" — Polished. Natural marble sold by the piece, $169.00 per piece. Samples available. Ships across the continental US.",Marble,"2"" x 12""",,Polished,White,1,,0.75,169.00,piece,CAGOMARTRI363681
thaswhtbor1421,UPDATE,"Thassos Pure White Marble Basketweave Border w/ Black 4 3/4"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 4 3/4"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Basketweave, Polished","Thassos Pure White Marble Basketweave Border w/ Black 4 3/4"" x 12"" — P","Thassos Pure White Marble Basketweave Border w/ Black 4 3/4"" x 12"" — Polished. Natural marble sold by the piece, $95.56 per piece. Samples available. Ships across the continental US.",Marble,"4 3/4"" x 12""",Basketweave,Polished,White,1,,0.75,95.56,piece,THWHMARBOR600033
calacatta-viola-marble-18x36-inch-polished-wall-floor-tile,UPDATE,"Calacatta Viola Marble 18"" x 36"" Tile — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 18"" x 36""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Polished, Large Format","Calacatta Viola Marble 18"" x 36"" Tile — Polished","Calacatta Viola Marble 18"" x 36"" Tile — Polished. Natural marble sold by the piece, $105.57 per piece. Samples available. Ships across the continental US.",Marble,"18"" x 36""",,Polished,White,1,,0.375,105.57,piece,CAVIMARTIL563189
calgldmol1503,UPDATE,"Calacatta Gold White Marble Bullnose Liner Trim 3/4"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 3/4"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Polished","Calacatta Gold White Marble Bullnose Liner Trim 3/4"" x 12"" — Polished","Calacatta Gold White Marble Bullnose Liner Trim 3/4"" x 12"" — Polished. Natural marble sold by the piece, $103.60 per piece. Samples available. Ships across the continental US.",Marble,"3/4"" x 12""",,Polished,White,1,,0.75,103.60,piece,CAGOMARTRI288417
calgldmol1501,UPDATE,"Calacatta Gold White Marble Pencil Liner Trim 1/2"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 1/2"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Polished","Calacatta Gold White Marble Pencil Liner Trim 1/2"" x 12"" — Polished","Calacatta Gold White Marble Pencil Liner Trim 1/2"" x 12"" — Polished. Natural marble sold by the piece, $99.90 per piece. Samples available. Ships across the continental US.",Marble,"1/2"" x 12""",,Polished,White,1,,0.75,99.90,piece,CAGOMARTRI838881
thaswhtbor1427,UPDATE,Thassos Pure White Marble Basketweave Border Corner w/ Black Dots — Polished,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Basketweave, Polished",Thassos Pure White Marble Basketweave Border Corner w/ Black Dots — Po,"Thassos Pure White Marble Basketweave Border Corner w/ Black Dots — Polished. Natural marble sold by the piece, $76.45 per piece. Samples available. Ships across the continental US.",Marble,,Basketweave,Polished,White,1,,0.75,76.45,piece,THWHMARBOR351201
